2026-06-03 19:41:27 | INFO | root | Logging to /mntdatalora/src/ECG-Denoising-LMMSE/logs/arch_deep_P64_20260603_194127.log
2026-06-03 19:41:27 | INFO | root | Runtime context:
{
  "config_path": "/mntdatalora/src/ECG-Denoising-LMMSE/configs/transformer.yaml",
  "hostname": "pod-4",
  "output_dir": "/mntdatalora/src/ECG-Denoising-LMMSE/outputs/transformer/arch_deep_P64",
  "platform": "Linux-6.8.0-124-generic-x86_64-with-glibc2.39",
  "python": "3.12.3 (main, Mar  3 2026, 12:15:18) [GCC 13.3.0]"
}
2026-06-03 19:41:58 | INFO | root | epoch=22 train_loss=0.01575422 val_loss=0.05389502
2026-06-03 19:41:59 | INFO | root | epoch=23 step=25 train_loss=0.01618178
2026-06-03 19:41:59 | INFO | root | epoch=23 step=50 train_loss=0.01617913
2026-06-03 19:42:00 | INFO | root | epoch=23 train_loss=0.01643518 val_loss=0.05564589
2026-06-03 19:42:00 | INFO | root | epoch=24 step=25 train_loss=0.01579196
2026-06-03 19:42:01 | INFO | root | epoch=24 step=50 train_loss=0.01540275
2026-06-03 19:42:01 | INFO | root | epoch=24 train_loss=0.01576229 val_loss=0.05468210
2026-06-03 19:42:02 | INFO | root | epoch=25 step=25 train_loss=0.01485022
2026-06-03 19:42:02 | INFO | root | epoch=25 step=50 train_loss=0.01463580
2026-06-03 19:42:02 | INFO | root | epoch=25 train_loss=0.01462584 val_loss=0.05022868
2026-06-03 19:42:03 | INFO | root | epoch=26 step=25 train_loss=0.01495108
2026-06-03 19:42:03 | INFO | root | epoch=26 step=50 train_loss=0.01438377
2026-06-03 19:42:04 | INFO | root | epoch=26 train_loss=0.01455849 val_loss=0.05622387
2026-06-03 19:42:04 | INFO | root | epoch=27 step=25 train_loss=0.01540788
2026-06-03 19:42:05 | INFO | root | epoch=27 step=50 train_loss=0.01496252
2026-06-03 19:42:05 | INFO | root | epoch=27 train_loss=0.01483774 val_loss=0.05363366
2026-06-03 19:42:06 | INFO | root | epoch=28 step=25 train_loss=0.01377903
2026-06-03 19:42:06 | INFO | root | epoch=28 step=50 train_loss=0.01364555
2026-06-03 19:42:06 | INFO | root | epoch=28 train_loss=0.01342429 val_loss=0.05392451
2026-06-03 19:42:07 | INFO | root | epoch=29 step=25 train_loss=0.01283441
2026-06-03 19:42:07 | INFO | root | epoch=29 step=50 train_loss=0.01274988
2026-06-03 19:42:08 | INFO | root | epoch=29 train_loss=0.01247209 val_loss=0.05533211
2026-06-03 19:42:08 | INFO | root | epoch=30 step=25 train_loss=0.01125869
2026-06-03 19:42:09 | INFO | root | epoch=30 step=50 train_loss=0.01174358
2026-06-03 19:42:09 | INFO | root | epoch=30 train_loss=0.01185886 val_loss=0.05234685
2026-06-03 19:42:09 | INFO | root | epoch=31 step=25 train_loss=0.01182329
2026-06-03 19:42:10 | INFO | root | epoch=31 step=50 train_loss=0.01200957
2026-06-03 19:42:10 | INFO | root | epoch=31 train_loss=0.01194199 val_loss=0.05581239
2026-06-03 19:42:11 | INFO | root | epoch=32 step=25 train_loss=0.01212958
2026-06-03 19:42:11 | INFO | root | epoch=32 step=50 train_loss=0.01226002
2026-06-03 19:42:12 | INFO | root | epoch=32 train_loss=0.01210014 val_loss=0.05607718
2026-06-03 19:42:12 | INFO | root | epoch=33 step=25 train_loss=0.01211421
2026-06-03 19:42:13 | INFO | root | epoch=33 step=50 train_loss=0.01197294
2026-06-03 19:42:13 | INFO | root | epoch=33 train_loss=0.01169314 val_loss=0.05382940
2026-06-03 19:42:13 | INFO | root | epoch=34 step=25 train_loss=0.01072374
2026-06-03 19:42:14 | INFO | root | epoch=34 step=50 train_loss=0.01073911
2026-06-03 19:42:14 | INFO | root | epoch=34 train_loss=0.01081148 val_loss=0.05628928
2026-06-03 19:42:15 | INFO | root | epoch=35 step=25 train_loss=0.01181438
2026-06-03 19:42:15 | INFO | root | epoch=35 step=50 train_loss=0.01141735
2026-06-03 19:42:16 | INFO | root | epoch=35 train_loss=0.01114399 val_loss=0.05680917
2026-06-03 19:42:16 | INFO | root | epoch=36 step=25 train_loss=0.01096584
2026-06-03 19:42:17 | INFO | root | epoch=36 step=50 train_loss=0.01055109
2026-06-03 19:42:17 | INFO | root | epoch=36 train_loss=0.01043796 val_loss=0.06035866
2026-06-03 19:42:17 | INFO | root | epoch=37 step=25 train_loss=0.01013896
2026-06-03 19:42:18 | INFO | root | epoch=37 step=50 train_loss=0.01022013
2026-06-03 19:42:18 | INFO | root | epoch=37 train_loss=0.01019652 val_loss=0.05422362
2026-06-03 19:42:19 | INFO | root | epoch=38 step=25 train_loss=0.01001782
2026-06-03 19:42:19 | INFO | root | epoch=38 step=50 train_loss=0.01038206
2026-06-03 19:42:20 | INFO | root | epoch=38 train_loss=0.01046438 val_loss=0.05600004
2026-06-03 19:42:20 | INFO | root | epoch=39 step=25 train_loss=0.01043815
2026-06-03 19:42:20 | INFO | root | epoch=39 step=50 train_loss=0.01023466
2026-06-03 19:42:21 | INFO | root | epoch=39 train_loss=0.01018823 val_loss=0.05397004
2026-06-03 19:42:21 | INFO | root | epoch=40 step=25 train_loss=0.01006405
2026-06-03 19:42:22 | INFO | root | epoch=40 step=50 train_loss=0.00983282
2026-06-03 19:42:22 | INFO | root | epoch=40 train_loss=0.00968408 val_loss=0.06248734
2026-06-03 19:42:23 | INFO | root | epoch=41 step=25 train_loss=0.00987949
2026-06-03 19:42:23 | INFO | root | epoch=41 step=50 train_loss=0.00979781
