2026-06-03 19:36:57 | INFO | root | Logging to /mntdatalora/src/ECG-Denoising-LMMSE/logs/arch_small_P64_20260603_193657.log
2026-06-03 19:36:57 | INFO | root | Runtime context:
{
  "config_path": "/mntdatalora/src/ECG-Denoising-LMMSE/configs/transformer.yaml",
  "hostname": "pod-4",
  "output_dir": "/mntdatalora/src/ECG-Denoising-LMMSE/outputs/transformer/arch_small_P64",
  "platform": "Linux-6.8.0-124-generic-x86_64-with-glibc2.39",
  "python": "3.12.3 (main, Mar  3 2026, 12:15:18) [GCC 13.3.0]"
}
2026-06-03 19:37:08 | INFO | root | epoch=22 train_loss=0.03409212 val_loss=0.04563389
2026-06-03 19:37:09 | INFO | root | epoch=23 step=25 train_loss=0.03404570
2026-06-03 19:37:09 | INFO | root | epoch=23 step=50 train_loss=0.03460601
2026-06-03 19:37:09 | INFO | root | epoch=23 train_loss=0.03419456 val_loss=0.04458030
2026-06-03 19:37:09 | INFO | root | epoch=24 step=25 train_loss=0.03286448
2026-06-03 19:37:09 | INFO | root | epoch=24 step=50 train_loss=0.03359015
2026-06-03 19:37:09 | INFO | root | epoch=24 train_loss=0.03371023 val_loss=0.04666152
2026-06-03 19:37:10 | INFO | root | epoch=25 step=25 train_loss=0.03207087
2026-06-03 19:37:10 | INFO | root | epoch=25 step=50 train_loss=0.03259180
2026-06-03 19:37:10 | INFO | root | epoch=25 train_loss=0.03279101 val_loss=0.04636220
2026-06-03 19:37:10 | INFO | root | epoch=26 step=25 train_loss=0.03155752
2026-06-03 19:37:10 | INFO | root | epoch=26 step=50 train_loss=0.03217930
2026-06-03 19:37:10 | INFO | root | epoch=26 train_loss=0.03217990 val_loss=0.04468932
2026-06-03 19:37:10 | INFO | root | epoch=27 step=25 train_loss=0.03260881
2026-06-03 19:37:11 | INFO | root | epoch=27 step=50 train_loss=0.03266461
2026-06-03 19:37:11 | INFO | root | epoch=27 train_loss=0.03203035 val_loss=0.04877067
2026-06-03 19:37:11 | INFO | root | epoch=28 step=25 train_loss=0.03209229
2026-06-03 19:37:11 | INFO | root | epoch=28 step=50 train_loss=0.03167641
