epoch,train_loss,validation_loss
1,0.1788405742564076,0.07517409159255442
2,0.05847413974813489,0.0651333037703347
3,0.049961669749424786,0.05078136674651804
4,0.04368000408891186,0.05430189975196675
5,0.04023857106667981,0.057018096366317855
6,0.036252242984628244,0.05102007085085627
7,0.033803064023599005,0.05942808053183759
8,0.030568730561692785,0.05186015935789643
9,0.02952593902515733,0.05545666632804378
10,0.028201315680108033,0.05380783753812939
11,0.025398506037095446,0.04779251649992381
12,0.02440543189916109,0.047129929943359496
13,0.023248442314074504,0.04983444734980862
14,0.022900527384183224,0.05183095123591563
15,0.020952802823400545,0.05140090669602848
16,0.020713254026055443,0.058980278603184645
17,0.019609390601187535,0.05409168552717598
18,0.01835857810078712,0.056365090099438214
19,0.017400318469285334,0.05365560236702733
20,0.017332925754089547,0.055865664961956864
21,0.01685046146743738,0.05331745381362971
22,0.01575422237480047,0.053895018141466466
23,0.016435183589714086,0.05564589402082429
24,0.015762292608119687,0.05468209776748654
25,0.014625843123663246,0.050228681082640704
26,0.01455848996361492,0.05622387031494708
27,0.014837744560994494,0.05363365867795154
28,0.013424294508799365,0.05392450937602179
29,0.012472086304923904,0.05533210669556115
30,0.01185886170229441,0.05234685367900156
31,0.011941986700034685,0.055812392744067574
32,0.012100137750289298,0.05607717736976726
33,0.01169314326236565,0.05382940276006734
34,0.010811481436860644,0.05628927877016866
35,0.01114399262588194,0.056809170501332155
36,0.010437964059196447,0.060358660443858216
37,0.010196522504148202,0.054223618928232756
38,0.010464383356832512,0.05600003609110579
39,0.010188227458267727,0.05397003690010326
40,0.009684084996264566,0.06248734326690995
41,0.009644141369854085,0.0555050518584314
42,0.009365851479478032,0.059475791505669874
43,0.009032326136483559,0.051938274782773644
44,0.00833703179890405,0.05649463481790736
45,0.008295378680400606,0.05362736665730035
46,0.007835546122630693,0.05592593226127566
47,0.00807846947752105,0.057601117276649155
48,0.007526950382749588,0.055357184188143345
49,0.007646685959672889,0.059720438321241714
50,0.007562916783440525,0.055120338470844354
51,0.0077462557949850895,0.05545069492074837
52,0.006878170247172326,0.06037388605399805
53,0.006757915255907319,0.054162789547127436
54,0.007035959363682876,0.06041264811614324
55,0.006638880373726275,0.05595630893838971
56,0.006779421265740479,0.05317674737586143
57,0.005982367174478428,0.05650711607630372
58,0.006276601087218237,0.05872491986479816
59,0.00567155105377294,0.056616527510202644
60,0.005453799537343875,0.05857125378668365
61,0.005510294570251178,0.05705049082450628
62,0.006951984154258512,0.05506092240480633
63,0.005782499064951566,0.05666754175059376
64,0.005126413033580607,0.06045360124229066
65,0.005073917267065781,0.055813609139412045
66,0.004939288343559338,0.056140658572856994
67,0.004977143061372216,0.05179071536721156
68,0.0048470189687091535,0.061356243679809346
69,0.004580658885519923,0.05652612504430426
