epoch,train_loss,validation_loss
1,0.11787762226191324,0.06894869674967538
2,0.07478802875411138,0.06470222740399792
3,0.06678653561514897,0.06354742446556934
4,0.06522773107655909,0.06343358343767695
5,0.06385901606033795,0.06303046470486678
6,0.062492125852413295,0.06736376657229973
7,0.06183024544627863,0.06347526442330553
8,0.05996801875343289,0.06066006508193143
9,0.05901664574790069,0.057753139152990365
10,0.05652147142710811,0.054553654220007276
11,0.05658048191972195,0.06170126894699573
12,0.05486275085987963,0.054573523768210806
13,0.05301069521517031,0.061616856675817525
14,0.05449849165328189,0.06187481399071716
15,0.05270904274777981,0.05493792527493709
16,0.05338373861013557,0.056427054163991575
17,0.05250376988512061,0.055697281443747054
18,0.05276129351412026,0.06202461639610906
19,0.05131447673835562,0.051166692613760126
20,0.05070838968067411,0.05354074073962517
21,0.0513338484786889,0.054866010841488684
22,0.05092940837969399,0.05160582865549315
23,0.050184725342931294,0.053548341202804065
24,0.04962671784903461,0.05303721867378664
25,0.05115196801266335,0.054416714323710605
26,0.04935074076553548,0.054187219315403753
27,0.04936168864185603,0.048700143768910076
28,0.04961884735656398,0.05193277717753771
29,0.04867756183023656,0.05239255571550911
30,0.04839600292751592,0.0482883472776625
31,0.048381179848506976,0.05443957962067336
32,0.04876863952566772,0.04862369942979407
33,0.04787037239274804,0.054500313009475054
34,0.04744301836499286,0.051369772033512666
35,0.04752691173919208,0.053641744620690955
36,0.047818532157283114,0.049489579299580796
37,0.04633251811112097,0.048564157206115455
38,0.04604088560280568,0.05155912818910206
39,0.046782035257797,0.05376432071116858
40,0.04677252206789937,0.050758333008125746
41,0.04574212864210081,0.05683247664567022
42,0.04642564305417332,0.05279815667504125
43,0.04686514348440783,0.05322356606813519
44,0.04646133665468899,0.05394116627689086
45,0.04588377389545371,0.050070611033422974
46,0.04523443762297994,0.053431769466119924
47,0.04506472645690538,0.052186875508239035
48,0.044801472158097044,0.047499979267505106
49,0.044633836852345975,0.05128383281459651
50,0.04484458223453931,0.050528138057060135
51,0.0440156077498788,0.05263832172679477
52,0.04464553082868805,0.05033469504027082
53,0.0443605645422147,0.05301548355511062
54,0.04545269699339816,0.04864333048368197
55,0.04394791563353063,0.04769356994211598
56,0.04361430364816774,0.04977587021158338
57,0.043644439995868624,0.05447212201478066
58,0.04322904050007672,0.04893739519610035
59,0.04270325210882141,0.05046839463930421
60,0.04178585008232858,0.04854657599439766
61,0.042422387422938954,0.04916406574799872
62,0.042600362513032855,0.04868022582980093
63,0.041804017572500664,0.05002864851619873
64,0.04143351453270868,0.049585654971863145
65,0.042063777212966426,0.05318989036687599
66,0.04167967163247298,0.04766403537674356
67,0.04238263204329974,0.04900033132491451
68,0.04281333241900561,0.05090179312335188
69,0.040997718910045965,0.04889810704442719
70,0.04140916956449635,0.05107869965224284
71,0.04225553282082679,0.05145173688363544
72,0.04065122235521057,0.046865955388038553
73,0.04025029065011729,0.04789869791651772
74,0.04016109784944861,0.048952112861895956
75,0.040912738649560215,0.05418698546941732
76,0.040797984812218836,0.05595211952621782
77,0.040734729356426774,0.04640897519630883
78,0.03994454606964849,0.050813220810556954
